ticker,name,sector_etf
9048.T,名古屋鉄道,1628.T
9064.T,ヤマトホールディングス,1628.T
9065.T,山九,1628.T
9069.T,センコーグループホールディングス,1628.T
9072.T,ニッコンホールディングス,1628.T
9076.T,セイノーホールディングス,1628.T
9101.T,日本郵船,1628.T
9104.T,商船三井,1628.T
9107.T,川崎汽船,1628.T
9142.T,九州旅客鉄道,1628.T
9143.T,SGホールディングス,1628.T
9147.T,NIPPON EXPRESSホールディングス,1628.T
9201.T,日本航空,1628.T
9202.T,ANAホールディングス,1628.T
9301.T,三菱倉庫,1628.T
9302.T,三井倉庫ホールディングス,1628.T
9364.T,上組,1628.T
9401.T,TBSホールディングス,1626.T
9404.T,日本テレビホールディングス,1626.T
9432.T,NTT,1626.T
9433.T,KDDI,1626.T
9434.T,ソフトバンク,1626.T
9435.T,光通信,1626.T
9449.T,GMOインターネットグループ,1626.T
9468.T,KADOKAWA,1626.T
9501.T,東京電力ホールディングス,1627.T
9502.T,中部電力,1627.T
9503.T,関西電力,1627.T
9504.T,中国電力,1627.T
9505.T,北陸電力,1627.T
9506.T,東北電力,1627.T
9507.T,四国電力,1627.T
9508.T,九州電力,1627.T
9509.T,北海道電力,1627.T
9513.T,電源開発,1627.T
9531.T,東京瓦斯,1627.T
9532.T,大阪瓦斯,1627.T
9533.T,東邦瓦斯,1627.T
9602.T,東宝,1626.T
9616.T,共立メンテナンス,1626.T
9627.T,アインホールディングス,1630.T
9684.T,スクウェア・エニックス・ホールディングス,1626.T
9697.T,カプコン,1626.T
9706.T,日本空港ビルデング,1633.T
9735.T,セコム,1626.T
9744.T,メイテックグループホールディングス,1626.T
9759.T,NSD,1626.T
9766.T,コナミグループ,1626.T
9831.T,ヤマダホールディングス,1630.T
9843.T,ニトリホールディングス,1630.T
9861.T,吉野家ホールディングス,1630.T
9934.T,因幡電機産業,1629.T
9962.T,ミスミグループ本社,1629.T
9983.T,ファーストリテイリング,1630.T
9984.T,ソフトバンクグループ,1626.T
9987.T,スズケン,1629.T
9989.T,サンドラッグ,1630.T
